주소,위도,경도,
경기도 이천시 장호원읍선읍리 1-2,37.141878,127.5944926,
경기도 이천시 부발읍신원리 76-7,37.2926223,127.519233,
경기도 성남시 수정구시흥동 87-6,37.4220535,127.1056341,
경기도 김포시 고촌읍신곡리 92,37.6109709,126.7812081,
경기도 오산시 원동420-1,37.1372376,127.0738125,
경기도 이천시 백사면송말리104-3,37.3352747,127.4859198,
경기도 안성시 일죽면화봉리231-1,37.0686607,127.476468,
경기도 용인시 처인구모현읍 왕산리711-1,37.3513822,127.2474717,
경기도 이천시 증포동153-3,37.2898835,127.4543123,
경기도 수원시 팔달구화서동647-2,37.2867134,126.9933873,
경기도 용인시 처인구마평동 549,37.2264291,127.2157868,
경기도 안성시 일죽면가리 551,37.073916,127.4909204,
경기도 이천시 사음동643-3,37.3003559,127.4079669,
경기도 김포시 대곶면거물대리224-6,37.670844,126.5988665,
경기도 과천시 갈현동309-653,37.4101778,126.9790861,
경기도 광주시 퇴촌면광동리147-6,37.4705739,127.3103883,
경기도 안성시 일죽면능국리348-3,37.1040173,127.4843984,
경기도 안성시 일죽면당촌리133-5,37.1005511,127.5095873,
경기도 시흥시 정왕동2208-1,37.3496216,126.7028121,
경기도 용인시 기흥구동백동406-8,37.2886925,127.1495431,
경기도 수원시 영통구이의동1090-4,37.2947325,127.0357616,
경기도 김포시 통진읍가현리249-8,37.6816156,126.5976073,
경기도 용인시 처인구삼가동 39-7,37.2490116,127.1607168,
경기도 이천시 부발읍신하리561-6,37.2565678,127.4853153,
경기도 광주시 곤지암읍곤지암리53-2,37.3424234,127.3584859,
경기도 이천시 부발읍신하리434-10,37.2614045,127.4753601,
경기도 김포시 대곶면대명리440-1,37.6441082,126.5490962,
경기도 안양시 동안구비산동540-9,37.4000899,126.9307045,
경기도 광주시 곤지암읍연곡리207-1,37.3680149,127.3921863,
경기도 김포시 월곶면갈산리466-14,37.7026799,126.5675706,
경기도 광주시 퇴촌면도수리266-9,37.4683389,127.3321324,
경기도 용인시 처인구남동 178-7,37.2244157,127.2099087,
경기도 용인시 수지구상현동 342,37.3035419,127.0759132,
경기도 의왕시 오전동204-4,37.3561402,126.9674696,
경기도 시흥시 정왕동1112-2,37.3712312,126.738458,
경기도 하남시 상산곡동137-5,37.4965044,127.232577,
경기도 광주시 곤지암읍삼리 6-7,37.3530832,127.3320803,
경기도 군포시 당정동13,37.3637356,126.9591698,
경기도 성남시 수정구복정동261-16,37.4678259,127.1258954,
경기도 의왕시 포일동509-2,37.3921509,126.9870157,
경기도 광주시 오포읍추자리306-1,37.3586073,127.2262676,
경기도 평택시 소사동1-17,36.9927443,127.1352123,
경기도 안양시 동안구비산동1055-1,37.4014391,126.9507547,
경기도 성남시 분당구정자동 214,37.3545818,127.118907,
경기도 성남시 중원구갈현동 351,37.4225727,127.1667045,
경기도 화성시 석우동28,37.2212694,127.0762024,
경기도 김포시 고촌읍신곡리532-25,37.6011347,126.7710576,
경기도 화성시 영천동778,37.2058535,127.1129513,
